"Qual é sua profissão? (Obs. ""XXX"" seria qualquer profissão ou atividade fora a tradução.)",Você trabalha com a tradução há quanto tempo?,A tradução é sua principal fonte de renda?,"Se tem outra/s fonte/s de renda, qual é (ou quais são)? (Pode marcar mais de uma opção.)",Qual é seu nível de escolaridade?,Você já fez algum curso de tradução em âmbito universitário? (Pode marcar mais de uma opção.) Obs.: Não inclua cursos de interpretação.,Já fez algum curso de tradução fora do ambiente universitário?,Já fez algum curso de versão (tradução do português para outro idioma) ou aulas de versão como parte de um curso de tradução?,Participa de alguma associação ou sindicato de tradutores? (Pode marcar mais de uma opção.),"Participa de algum grupo de tradutores nas redes sociais (por exemplo, grupo fechado do Facebook)?","Participa de algum grupo que agrega colegas de tradução (por exemplo, grupo no WhatsApp)?",Você é... (Pode marcar mais de uma opção.),Quais são suas fontes de trabalho de tradução? (Pode marcar mais de uma opção.),Qual é sua língua nativa (língua A / língua 1)?,Qual é sua segunda língua mais forte?,Você faz versão (tradução do português para outro idioma)?,Você traduz para o inglês com que frequência?,"Quando recebe um texto em português para traduzir para o inglês, quais das frases a seguir se aplicam? (Pode marcar mais de uma opção.)",Que tipos de texto traduz para o inglês? (Pode marcar mais de uma opção.),Você conta com a revisão de outra pessoa quando traduz para o inglês?,"Se trabalha com revisor(a), essa(s) pessoa(s)... (Pode marcar mais de uma opção.) Obs. Entende-se que pode trabalhar com mais de um/a revisor/a.","Você concorda com a seguinte frase: ""A tradução feita para a língua nativa é melhor que a tradução feita para a língua estrangeira""?","Você concorda com a seguinte frase: ""A tradução para L2 pode ser feita por qualquer tradutor""?","Se tivesse mais oferta de formação em versão (tradução do português para outro idioma) no Brasil, você teria interesse em fazer? (Pode marcar mais de uma opção.)",Você usa algum software de tradução? (Pode escolher mais de uma opção.),Você usa ou já usou a tradução automática para preparar suas traduções e versões? (Pode escolher mais de uma opção.),Em quais circunstâncias você usa ou já usou a tradução automática? (Pode marcar mais de uma opção.),Qual é seu gênero?,Qual é sua faixa etária?,Qual é sua cor de pele / raca?,Em que país você mora?
"""Sou tradutor/a e XXX"".",mais de 20 anos,Sim,Interpretação,Mestrado,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Não,"Sintra, ABRATES, APIC",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução do exterior",português,espanhol,Sim,Aproximadamente metade do tempo,Aceito se é uma área que já conheço.,"setor produtivo (energia, indústria, agropecuária, etc.), setor cultural, acadêmicos - humanas e artes",Aproximadamente metade do tempo,troco revisões do meu inglês / português do colega,"Depende (nem concordo, nem discordo)",Discordo totalmente.,"Sim, se o curso fosse online (mesmo depois da pandemia).","Sim, Wordfast","Sim, Google Tradutor.",Uso para certos tipos de texto.,feminino,66 ou mais,branca,Brasil
"""Sou tradutor/a"".",de 10 a 15 anos,Sim,Interpretação,Ensino superior.,Não fiz.,Não,Não,Sintra,Sim,Não,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Agência de tradução brasileira",chines,português,Não,,,,,,,,Não tenho interesse em fazer curso de versão.,Não uso.,Não.,,masculino,66 ou mais,amarela,Brasil
"""Sou tradutor/a e XXX"".",de 15 a 20 anos,Sim,"Ensino de línguas, Interpretação, Avaliação de habilidades em inglês falado",Pós-graduação lato sensu (especialização),Não fiz.,Não,Não,"ABRATES, ATA",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Plataforma online de tradução (p.ex. ProZ)",inglês,português,Sim,Sempre ou quase sempre,"Aceito sempre ou quase sempre., Aceito se é uma área que já conheço., Em função de acordos com clientes PJ","corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos, setor cultural, informática e telecomunicações, documentos oficiais (certidões, diplomas, históricos escolares, etc.), audiovisual (legendagem, dublagem)",Raramente ou nunca,"é contratada por você (ou seja, você paga do próprio bolso)., é nativa do inglês e conhece bem o português.","Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).",Não tenho interesse em fazer curso de versão.,"Sim, Wordfast","Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",masculino,56 a 65 anos,branca,Brasil
Sou intérprete e tradutor,de 10 a 15 anos,Sim,Interpretação,Pós-graduação lato sensu (especialização),"Sim, fiz bacharelado em tradução., Sim, fiz bacharelado em letras com discplina(s) de tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"Sintra, ABRATES, APIC, AIIC, ProZ",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução do exterior, Colega",inglês,português,Sim,Sempre ou quase sempre,"Aceito sempre ou quase sempre., Aceito porque gosto de fazer a tradução para o inglês., Aceito porque faço melhor a tradução para o inglês que para o português., Aceito porque paga melhor que a tradução para o português.","todos, corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos, setor cultural, informática e telecomunicações, documentos oficiais (certidões, diplomas, históricos escolares, etc.), audiovisual (legendagem, dublagem), literário, Jogos, Software, Sites",Raramente ou nunca,"é contratada por você (ou seja, você paga do próprio bolso)., é nativa do inglês e conhece bem o português., Eu costumo ser contratado por brasileiros para revisar versões",Concorda plenamente.,Discordo parcialmente.,Talvez,"Sim, MemoQ","Sim, Google Tradutor., Sim, Microsoft Bing.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso quando estou com pouco tempo.",prefiro não dizer,36 a 45 anos,prefiro não dizer,Brasil
"""Sou tradutor/a"".",de 10 a 15 anos,Sim,,Ensino superior.,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Não,Não,tradutor/a autônomo/a sem CNPJ.,Agência de tradução brasileira,português,espanhol,Não,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução., Sim, se o curso fosse apenas prático (sem conteúdo teórico).","Sim, Wordfast",Não.,,feminino,36 a 45 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Não,"Ensino de línguas, Ensino de tradução e/ou interpretação, Revisão e/ou copydesque, Interpretação",Doutorado,"Sim, fiz doutorado em tradução ou letras com ênfase em tradução., Sim, fiz especialização (pós-graduação lato sensu) em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"Sintra, ABRATES, APIC, ABRAPT",Sim,Não,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior, Plataforma online (sem ser especializada em tradução), Colega",espanhol,português,Não,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução., Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução.",Não uso.,Não.,Nunca usei,masculino,46 a 55 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",mais de 20 anos,Não,,Pós-graduação lato sensu (especialização),Não fiz.,Sim,Sim,"Sintra, ATPP",Não,Não,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a",Cliente direto,português,inglês,Sim,Mais da metade do tempo,"Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a)., Aceito porque gosto de fazer a tradução para o inglês.","corporativos / business, jurídicos",Raramente ou nunca,,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia).",Não uso.,Não.,,feminino,66 ou mais,branca,Brasil
"""Sou XXX e tradutor/a"".",de 5 a 10 anos,Não,Interpretação,Pós-graduação lato sensu (especialização),"Sim, fiz bacharelado em tradução., Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Não,"Sintra, APIC",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira",português,inglês,Sim,Raramente,Aceito se o prazo estiver folgado.,"corporativos / business, jurídicos",Raramente ou nunca,,Concordo parcialmente,Discordo totalmente.,"Sim, se o curso não fosse muito caro., Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução.","Sim, MemoQ",Não.,Uso para checar trechos que tive dificuldade de entender.,feminino,26 a 35 anos,parda,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Sim,"Sintra, ABRATES, APTRAD",Sim,Sim,tradutor/a juramentado/a,"Cliente direto, Agência de tradução brasileira, Plataforma online de tradução (p.ex. ProZ), Grupo do Facebook ou similar, Colega",português,espanhol,Não,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, SDL Trados","Sim, Google Tradutor., Sim, DeepL.","Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender., Como uma base para iniciar pesquisa mais aprofundada",feminino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,Revisão e/ou copydesque,Pós-graduação lato sensu (especialização),"Sim, fiz bacharelado em tradução.",Sim,Sim,"Sintra, ABRATES, ATPP",Sim,Sim,tradutor/a juramentado/a,"Cliente direto, Agência de tradução do exterior, Colega",português,espanhol,Sim,Menos da metade do tempo,"Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado., Aceito porque paga melhor que a tradução para o português.",acadêmicos - humanas e artes,Aproximadamente metade do tempo,"é contratada por você (ou seja, você paga do próprio bolso)., é brasileira que tem experiência na tradução para o inglês.",Concordo parcialmente,"Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim, SDL Trados","Sim, Google Tradutor.","Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",feminino,46 a 55 anos,branca,Brasil
"""Sou XXX"".",mais de 20 anos,Não,Professora universitária,Pós-Doutorado,Não fiz.,Não,Não,Sintra,Não,Não,"Tradutora,",Tradutora free lancer,português,inglês,Sim,Mais da metade do tempo,"Aceito sempre ou quase sempre., Aceito porque gosto de fazer a tradução para o inglês.",todos,Raramente ou nunca,,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).",Não tenho interesse em fazer curso de versão.,Não uso.,Linguee (para revisão de palavras específicas),Uso para checar trechos que tive dificuldade de entender.,feminino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a"".",de 3 a 5 anos,Não,Sou aposentada,Mestrado,"Sim, fiz curso livre ou de extensão em tradução., Curso Daniel Brilhante Britto e Curso Versão Brasileira de Interpretação ",Sim,Sim,"Sintra, ABRATES",Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Colega",português,francês,Não,,,,,,,,"Sim, se o curso não fosse muito caro., Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução.",Não uso.,Não.,,feminino,66 ou mais,branca,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Não,"Ensino de línguas, Sou empregada da Caixa Econômica Federal aposentada",Mestrado,"Sim, fiz mestrado em tradução ou letras com ênfase em tradução., Sim, fiz especialização (pós-graduação lato sensu) em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"Sintra, ABRATES",Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Agência de tradução brasileira, Colega",português,francês,Não,,,,,,,,"Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o curso fosse apenas prático (sem conteúdo teórico).","Gosto do SDL Trados, mas não tenho mais a licença, porque está muito caro e a demanda de tradução que tenho é pouca, então não compensa para mim.","Sim, DeepL.",Uso para checar trechos que tive dificuldade de entender.,feminino,56 a 65 anos,branca,Brasil
"revisora, editora, produtora de conteúdo e profissional de mkt digital",de 15 a 20 anos,Sim,Revisão e/ou copydesque,Pós-graduação lato sensu (especialização),"Sim, fiz curso livre ou de extensão em tradução.",Sim,Não,Sintra,Sim,Não,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Plataforma online (sem ser especializada em tradução)",português,inglês,Sim,Mais da metade do tempo,Aceito sempre ou quase sempre.,"corporativos / business, setor cultural, informática e telecomunicações, acadêmicos - humanas e artes, audiovisual (legendagem, dublagem), literário",Raramente ou nunca,,"Depende (nem concordo, nem discordo)",Discordo totalmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução.",SmartCat,"Sim, Google Tradutor., Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para checar trechos que tive dificuldade de entender.",feminino,36 a 45 anos,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,Interpretação,Pós-graduação lato sensu (especialização),Não fiz.,Sim,Sim,"Sintra, APIC, ATPIESP",Não,Não,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Colega",francês,português,Sim,Sempre ou quase sempre,Aceito sempre ou quase sempre.,"todos, corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos, setor cultural, informática e telecomunicações, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,,Concordo parcialmente,Concordo parcialmente.,"Sim, se o curso fosse apenas prático (sem conteúdo teórico).",Não uso.,Não.,,masculino,66 ou mais,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,"Ensino de tradução e/ou interpretação, Revisão e/ou copydesque, Interpretação",Ensino superior.,"Sim, fiz bacharelado em tradução.",Sim,Sim,"Sintra, ABRATES, ATA, APTRAD, ATPIESP",Sim,Sim,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a","Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior, Plataforma online de tradução (p.ex. ProZ), Plataforma online (sem ser especializada em tradução), Grupo do Facebook ou similar, Colega",português,inglês,Sim,Mais da metade do tempo,"Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a)., Aceito porque gosto de fazer a tradução para o inglês.","corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos, setor cultural, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Sempre ou quase sempre,"é contratada por você (ou seja, você paga do próprio bolso)., é nativa do inglês e conhece bem o português.",Concordo parcialmente,Discordo totalmente.,"Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","SDL Trados Studio 2021, memoQ, Memsource e XTM. A minha primeira ferramenta foi o Wordfast Classic",Não.,Não uso.,masculino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 15 a 20 anos,Não,Bancaria e ensino de português ,Pós-graduação lato sensu (especialização),"Sim, fiz bacharelado em tradução., Sim, fiz especialização (pós-graduação lato sensu) em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"Sintra, ABRATES",Não,Não,"tradutor/a autônomo/a com CNPJ., funcionário/a de uma empresa não especializada em tradução.",Cliente direto,português,inglês,Sim,Aproximadamente metade do tempo,"Aceito se o prazo estiver folgado., Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a).","corporativos / business, setor cultural, informática e telecomunicações, acadêmicos - humanas e artes, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,"Eventualmente, uma amiga servidora pública colabora comigo",Concorda plenamente.,Discordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, Wordfast","Sim, Google Tradutor.",Uso para checar trechos que tive dificuldade de entender.,feminino,36 a 45 anos,parda,Brasil
"""Sou XXX e tradutor/a"".",mais de 20 anos,Não,médico,Pós-graduação lato sensu (especialização),"Sim, fiz curso livre ou de extensão em tradução., aulas particulares de idiomas e linguística",Sim,Sim,"Sintra, ABRATES",Não,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Colega, tradução médica",português,francês,Sim,Raramente,"Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado.","setor cultural, informática e telecomunicações, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, literário",Raramente ou nunca,"a revisão, se houver, é por conta do cliente","Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).",Não tenho interesse em fazer curso de versão.,Não uso.,"Não., algumas vezes o Trados",não uso tradução automática,masculino,66 ou mais,branca,Brasil
"""Sou tradutor/a e XXX"".",mais de 20 anos,Sim,professora aposentada,Ensino superior.,Não fiz.,Não,Não,Sintra,Não,Não,tradutor/a autônomo/a sem CNPJ.,Cliente direto,português,inglês,Sim,Raramente,Aceito se é uma área que já conheço.,"setor produtivo (energia, indústria, agropecuária, etc.), informática e telecomunicações, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,Não trabalho com revisora.,Concorda plenamente.,"Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia).","Sim, SDL Trados",Não.,Uso/Já usei ao traduzir para a língua estrangeira.,feminino,66 ou mais,branca,Brasil
